Class ID,Class Name
uaRVvLoIiw4ESTeJ,BolognaPhysicalTwin
kmZDTj2ElD0kJYN8,DigitalRoad
0FrydZM21ZxNp1jD,DigitalRoadSegment
w2VXMp3VTNugYRI8,DigitalTrafficLoop
Mc3h1F91CI3Kegwh,DigitalModel
DMuQilZM7d9h8DKS,DigitalModelManager
aEn0lzscVr6kLRDA,TrafficLoopShadow
TXeIdI5dM7VbWWyW,RoadShadow
R22rvDFCVxmFvqkT,DigitalShadow
VUB9EIRLNjsWAlvQ,DigitalShadowManager
OBsGIykibenKk3zQ,DigitalTwinManager
apzYBdZAmbE4nOuv,DigitalRepresentation
9vR1rzUVml20AnFc,TrafficLoopDataProvider
i3txzRuZGL8UXTX5,P2DAdapter
iq1Y4G2YqeAMsLVj,Adapter
4jTMyNegJb7NiRcP,TrafficLightDataReceiver
4oga30uiXAE9OqPj,D2PAdapter
JcpEivH6OcQfuTCl,ServiceManager
QolEqjaOPlDViDbC,FeedbackTrafficLight
bDgbyA6DSs3HU5GG,DataManager
LmK7OKqbz2ZDjZkC,DataModel
