Class ID,Class Name
zkf8OzrO121Nuycr,SumoSimulator
qlQT7eiPITsYqVBU,DigitalTwinManager
IeGeO8Q4L4br3tND,ContextBroker
NJJ2UXtQbiwuHGEj,SubscriptionManager
2LEBqgG2mYPdYVSC,MongoManager
p1UvDg9nMMAZqizX,TimescaleManager
lPTcgYXJqYxcnh7S,BolognaPhysicalTwin
D7CrGDbMU5Ejb0Dd,TrafficLoopDataProvider
7Wa29cQH8oj7LiPI,TrafficLightDataReceiver
YV0SnhrdS8xElVdP,Agent
Pjz4qInOi6fsQ5Ei,ScenarioGenerator
KJKIZmF8k7HuCvp1,Planner
gmFWmY19TMB6pGOV,DigitalTwinHMI
V6xEiNmUgmrCqcic,FeedbackTrafficLight
A5hVt8kdGhMZUmSH,DataManager
EzFfZF2iWPZ7aGL8,DataModelManager
DkifZF52YkirDnF3,DatabaseManager
