Relationship Type,From Class ID,From Class Name,To Class ID,To Class Name,Aggregation
Aggregation,hJTkhYWbHBBo1okg,DigitalRoad,XVuvt333tISDO7fd,DigitalRoadSegment,Shared
Aggregation,XVuvt333tISDO7fd,DigitalRoadSegment,wkZz9gBunZr3krAi,DigitalTrafficLoop,Shared
Generalization,q5ikF97fU4vwg9kQ,DigitalModel,hJTkhYWbHBBo1okg,DigitalRoad,
Generalization,q5ikF97fU4vwg9kQ,DigitalModel,XVuvt333tISDO7fd,DigitalRoadSegment,
Generalization,q5ikF97fU4vwg9kQ,DigitalModel,wkZz9gBunZr3krAi,DigitalTrafficLoop,
Aggregation,aufuT9U6AI34nNBe,DigitalModelManager,q5ikF97fU4vwg9kQ,DigitalModel,Shared
Generalization,gCVSQhtfoPX8Db3e,DigitalShadow,D2F4t6gfQ1lsAyZ0,TrafficLoopShadow,
Generalization,gCVSQhtfoPX8Db3e,DigitalShadow,0O3q1wuFH8SCOcJ2,RoadShadow,
Aggregation,9c9lv87bV6DrxI5R,DigitalShadowManager,gCVSQhtfoPX8Db3e,DigitalShadow,Shared
Aggregation,qlQT7eiPITsYqVBU,DigitalTwinManager,9c9lv87bV6DrxI5R,DigitalShadowManager,Shared
Aggregation,qlQT7eiPITsYqVBU,DigitalTwinManager,aufuT9U6AI34nNBe,DigitalModelManager,Shared
Generalization,LyoiY1pGP9kROX6p,DigitalRepresentation,gCVSQhtfoPX8Db3e,DigitalDataTrace,
Generalization,LyoiY1pGP9kROX6p,DigitalRepresentation,q5ikF97fU4vwg9kQ,DigitalModel,
Aggregation,lPTcgYXJqYxcnh7S,BolognaPhysicalTwin,D7CrGDbMU5Ejb0Dd,TrafficLoopDataProvider,Shared
Generalization,nQ1SzyNUcMP78L39,Adapter,piu86X9pyUFpeXeG,P2DAdapter,
Usage,D7CrGDbMU5Ejb0Dd,TrafficLoopDataProvider,piu86X9pyUFpeXeG,P2DAdapter,
Aggregation,lPTcgYXJqYxcnh7S,BolognaPhysicalTwin,7Wa29cQH8oj7LiPI,TrafficLightDataReceiver,Shared
Generalization,nQ1SzyNUcMP78L39,Adapter,1kWsv0yr7HsQROAb,D2PAdapter,
Usage,1kWsv0yr7HsQROAb,D2PAdapter,7Wa29cQH8oj7LiPI,TrafficLightDataReceiver,
Aggregation,2rHfQOcuYGI3Oq4L,ServiceManager,FmlLkb6rFSLcIifV,FeedbackTrafficLight,Composite
Usage,2rHfQOcuYGI3Oq4L,ServiceManager,qlQT7eiPITsYqVBU,DigitalTwinManager,
Usage,FmlLkb6rFSLcIifV,FeedbackTrafficLight,7Wa29cQH8oj7LiPI,TrafficLightDataReceiver,
Usage,iFo5gGFTekbTN8C0,DataManager,WkLqQWRU18x2LB9V,DataModel,
Usage,2rHfQOcuYGI3Oq4L,ServiceManager,iFo5gGFTekbTN8C0,DataManager,
Usage,qlQT7eiPITsYqVBU,DigitalTwinManager,iFo5gGFTekbTN8C0,DataManager,
Usage,nQ1SzyNUcMP78L39,Adapter,iFo5gGFTekbTN8C0,DataManager,
