Relationship Type,From Class ID,From Class Name,To Class ID,To Class Name,Aggregation
Aggregation,zkf8OzrO121Nuycr,SumoSimulator,qlQT7eiPITsYqVBU,DigitalTwinManager,Shared
Association,IeGeO8Q4L4br3tND,ContextBroker,NJJ2UXtQbiwuHGEj,SubscriptionManager,False
Usage,IeGeO8Q4L4br3tND,ContextBroker,2LEBqgG2mYPdYVSC,MongoManager,False
Aggregation,lPTcgYXJqYxcnh7S,BolognaPhysicalTwin,D7CrGDbMU5Ejb0Dd,TrafficLoopDataProvider,Shared
Aggregation,lPTcgYXJqYxcnh7S,BolognaPhysicalTwin,7Wa29cQH8oj7LiPI,TrafficLightDataReceiver,Shared
Association,YV0SnhrdS8xElVdP,Agent,IeGeO8Q4L4br3tND,ContextBroker,False
Usage,D7CrGDbMU5Ejb0Dd,TrafficLoopDataProvider,YV0SnhrdS8xElVdP,Agent,False
Usage,YV0SnhrdS8xElVdP,Agent,7Wa29cQH8oj7LiPI,TrafficLightDataReceiver,False
Usage,YV0SnhrdS8xElVdP,Agent,2LEBqgG2mYPdYVSC,MongoManager,False
Containment,qlQT7eiPITsYqVBU,DigitalTwinManager,V6xEiNmUgmrCqcic,FeedbackTrafficLight,False
Usage,gmFWmY19TMB6pGOV,DigitalTwinHMI,qlQT7eiPITsYqVBU,DigitalTwinManager,False
Usage,qlQT7eiPITsYqVBU,DigitalTwinManager,KJKIZmF8k7HuCvp1,Planner,False
Aggregation,KJKIZmF8k7HuCvp1,Planner,Pjz4qInOi6fsQ5Ei,ScenarioGenerator,Shared
Usage,Pjz4qInOi6fsQ5Ei,ScenarioGenerator,zkf8OzrO121Nuycr,SumoSimulator,False
Generalization,DkifZF52YkirDnF3,DatabaseManager,2LEBqgG2mYPdYVSC,MongoManager,False
Generalization,DkifZF52YkirDnF3,DatabaseManager,p1UvDg9nMMAZqizX,TimescaleManager,False
Usage,EzFfZF2iWPZ7aGL8,DataModelManager,IeGeO8Q4L4br3tND,ContextBroker,False
Aggregation,A5hVt8kdGhMZUmSH,DataManager,EzFfZF2iWPZ7aGL8,DataModelManager,Shared
Aggregation,A5hVt8kdGhMZUmSH,DataManager,DkifZF52YkirDnF3,DatabaseManager,Shared
Usage,qlQT7eiPITsYqVBU,DigitalTwinManager,A5hVt8kdGhMZUmSH,DataManager,False
